,Mkt-RF,SMB,HML,RMW,CMA,RF,
1992-06-01,0.3,0.22,1.25,-0.98,0.43,0.28,
1992-07-01,-2.34,-2.71,3.36,-0.05,1.07,0.32,
1992-08-01,3.77,-0.61,-0.37,1.4,-0.72,0.31,
1992-09-01,-2.38,-0.43,-1.06,3.73,-1.62,0.26,
1992-10-01,1.19,0.5,-0.28,1.63,-0.5,0.26,
1992-11-01,1.02,2.03,-2.01,1.3,-0.8,0.23,
1992-12-01,4.13,3.93,-1.4,-0.77,-1.91,0.23,
1993-01-01,1.53,1.64,2.63,-0.41,0.75,0.28,
1993-02-01,0.93,2.07,5.92,-1.73,2.78,0.23,
1993-03-01,0.12,-3.47,6.41,-0.59,4.05,0.22,
1993-04-01,2.3,0.06,1.31,-0.14,0.92,0.25,
1993-05-01,-3.05,-0.86,2.52,-3.58,1.52,0.24,
1993-06-01,2.89,1.9,-3.45,0,-1.18,0.22,
1993-07-01,0.31,0.11,2.72,-0.97,1.09,0.25,
1993-08-01,-0.34,0.89,2.82,-1.84,2.03,0.24,
1993-09-01,3.71,0.13,0.13,-1.59,-0.04,0.25,
1993-10-01,-0.12,2.98,-0.25,0.26,-0.08,0.26,
1993-11-01,1.41,1.9,-2.72,0.55,0.59,0.22,
1993-12-01,-1.89,-1.26,-0.77,2.25,-0.96,0.25,
1994-01-01,1.65,1.39,0.36,1.13,-0.32,0.23,
1994-02-01,2.87,-0.01,1.13,-1.59,1.45,0.25,
1994-03-01,-2.55,2.66,-1.59,2.2,-1.03,0.21,
1994-04-01,-4.78,-1.11,1.63,0.55,1.27,0.27,
1994-05-01,0.68,-1.06,1.66,1.11,1.12,0.27,
1994-06-01,0.58,-2.52,0.66,0.66,0.7,0.31,
1994-07-01,-3.03,-0.52,1.72,1.15,1.53,0.31,
1994-08-01,2.82,-1.84,0.56,-0.63,0.11,0.28,
1994-09-01,4.01,1.34,-2.47,0.9,-1.45,0.37,
1994-10-01,-2.31,2.78,-1.87,0.51,0.93,0.37,
1994-11-01,1.34,-2.3,-1.66,0.22,-0.62,0.38,
1994-12-01,-4.04,0.09,-0.69,0.45,-0.44,0.37,
1995-01-01,0.86,0.07,-0.2,0.5,0.31,0.44,
1995-02-01,1.8,-3.11,2.54,0.09,-0.83,0.42,
1995-03-01,3.63,-0.52,1.12,0.61,-0.33,0.4,
1995-04-01,2.19,-0.51,-2.15,-0.09,0.16,0.46,
1995-05-01,2.11,-0.29,1.71,0.24,1,0.44,
1995-06-01,2.9,-2.2,2.23,0.37,0.09,0.54,
1995-07-01,2.72,3.03,-2.5,-0.33,-2.44,0.47,
1995-08-01,3.72,2.07,-1.63,0.28,-1.71,0.45,
1995-09-01,0.55,1.78,2.84,-1.17,1.64,0.47,
1995-10-01,3.35,-1.97,0.02,1.06,0.36,0.43,
1995-11-01,-1.52,-4.09,-0.46,1.84,-0.03,0.47,
1995-12-01,3.96,-1.14,0.61,-0.54,1.19,0.42,
1996-01-01,1.03,0.69,0.33,-1.35,2.99,0.49,
1996-02-01,2.26,-2.49,0.22,0.13,2.27,0.43,
1996-03-01,1.33,1.76,-1.16,0.24,-1.8,0.39,
1996-04-01,0.73,1.63,0.31,1.46,-0.97,0.39,
1996-05-01,2.06,4.7,-4.08,-0.14,-2.2,0.46,
1996-06-01,2.36,3.13,-0.8,0.15,-0.22,0.42,
1996-07-01,-1.14,-3.57,2.26,3.34,1.09,0.4,
1996-08-01,-5.97,-3.82,5.16,2.95,2.59,0.45,
1996-09-01,2.77,2.58,-0.78,-0.41,-2.42,0.41,
1996-10-01,5.01,-1.37,-2.76,1.24,-2.18,0.44,
1996-11-01,0.86,-3.84,4.92,1.52,2.97,0.42,
1996-12-01,6.25,-3.82,1.46,2.05,-0.73,0.41,
1997-01-01,-1.7,3.16,1.33,0.41,1.52,0.46,
1997-02-01,4.98,-1.85,-1.43,1.23,-0.28,0.45,
1997-03-01,-0.49,-2.66,5.7,0.67,3.41,0.39,
1997-04-01,-5.02,-0.5,3.43,0.46,1.66,0.43,
1997-05-01,4.04,-5.72,0.09,3.36,-0.9,0.43,
1997-06-01,6.74,4.74,-4.08,-1.03,-2.91,0.49,
1997-07-01,4.1,1.17,1.62,0.61,0.55,0.37,
1997-08-01,7.33,-2.76,0.2,0.09,-2.56,0.43,
1997-09-01,-4.15,7.65,1.12,-1.01,-0.02,0.41,
1997-10-01,5.35,2.5,0.29,-1.59,-0.93,0.44,
1997-11-01,-3.8,-0.54,2.33,1.07,1.87,0.42,
1997-12-01,2.98,-5.09,1.24,2.83,1.66,0.39,
1998-01-01,1.32,-2.14,4.03,0.76,1.92,0.48,
1998-02-01,0.15,-1.3,-1.65,0.87,-0.85,0.43,
1998-03-01,7.04,0.14,-0.78,-0.31,-2.41,0.39,
1998-04-01,4.76,-0.67,1.54,-0.3,-0.47,0.39,
1998-05-01,0.73,-0.05,0.89,-1.63,-0.23,0.43,
1998-06-01,-3.07,-2.95,3.43,1.05,2.54,0.4,
1998-07-01,3.18,-3.72,-1.8,-0.29,-2.93,0.41,
1998-08-01,-2.46,-5.25,-1.71,1.83,0.45,0.4,
1998-09-01,-16.08,-5.17,3.56,3.45,5.84,0.43,
1998-10-01,6.15,-0.8,-3.42,-1.69,-2.91,0.46,
1998-11-01,7.13,-3.43,-2.21,0.77,0.29,0.32,
1998-12-01,6.1,0.71,-3.16,-1.08,-1.15,0.31,
1999-01-01,6.16,-1.57,-4.2,-0.66,-3.33,0.38,
1999-02-01,3.5,-0.62,-4.66,-2.66,-6.86,0.35,
1999-03-01,-4.08,-5.22,1.91,-1.24,4.09,0.35,
1999-04-01,3.45,-4.18,-2.77,-3.9,-1.4,0.43,
1999-05-01,4.33,4.67,2.34,-2.26,0.92,0.37,
1999-06-01,-2.46,3.64,2.36,0.76,3.36,0.34,
1999-07-01,4.77,2.27,-3.4,1.11,-3.38,0.4,
1999-08-01,-3.49,2.49,-0.48,0.45,3.11,0.38,
1999-09-01,-1.38,-1.83,-1.72,-0.2,0.31,0.39,
1999-10-01,-2.79,2.57,-3.42,-0.77,-1.07,0.39,
1999-11-01,6.12,-7.05,-3.16,-1.88,-1.25,0.39,
1999-12-01,3.37,5.81,-6.07,-4.01,-1.58,0.36,
2000-01-01,7.72,5.42,-8.4,-7.53,-5.29,0.44,
2000-02-01,-4.74,4.38,-1.75,-6.07,4.73,0.41,
2000-03-01,2.45,18.08,-8.94,-18.48,-0.51,0.43,
2000-04-01,5.2,-14.89,7.66,11.53,-1.05,0.47,
2000-05-01,-6.4,-5.25,7.41,7.66,5.27,0.46,
2000-06-01,-4.42,-4.11,5.01,4.36,0.74,0.5,
2000-07-01,4.64,9.89,-8.22,-8.05,-3.07,0.4,
2000-08-01,-2.51,-1.03,8.4,6.28,2.99,0.48,
2000-09-01,7.03,-0.94,-1.47,-3.17,0.61,0.5,
2000-10-01,-5.45,0.02,7.28,2.77,6.43,0.51,
2000-11-01,-2.76,-2.86,5.71,9.44,4.67,0.56,
2000-12-01,-10.72,-0.69,12.53,13.38,8.51,0.51,
2001-01-01,1.19,3.16,7.67,2.35,5.68,0.5,
2001-02-01,3.13,5.78,-5.33,-5.31,-6.55,0.54,
2001-03-01,-10.05,2.63,12.58,9.09,9.56,0.38,
2001-04-01,-7.26,2.27,6.52,3.27,3.94,0.42,
2001-05-01,7.94,-0.66,-4.8,-3.42,-3.95,0.39,
2001-06-01,0.72,3.56,3.34,0.17,2.18,0.32,
2001-07-01,-1.94,6.63,-1.16,1.32,-1.79,0.28,
2001-08-01,-2.13,-2.83,5.35,7.42,3.01,0.3,
2001-09-01,-6.46,2.73,2.33,3.94,6.5,0.31,
2001-10-01,-9.25,-5.74,1.57,4.89,3.28,0.28,
2001-11-01,2.46,5.37,-7.66,-2.98,-4.64,0.22,
2001-12-01,7.54,-0.35,2.16,-3.88,-1.66,0.17,
2002-01-01,1.6,5.21,0.9,0.24,-0.29,0.15,
2002-02-01,-1.44,1.23,3.38,4.66,2.84,0.14,
2002-03-01,-2.29,-0.38,2.21,8.04,5.12,0.13,
2002-04-01,4.24,4.2,1.08,-1.75,0.61,0.13,
2002-05-01,-5.2,6.65,3.96,4.46,5.41,0.15,
2002-06-01,-1.38,-3.08,1.57,2.16,2.42,0.14,
2002-07-01,-7.21,3.8,0.04,3.79,2.51,0.13,
2002-08-01,-8.18,-6.26,-3.71,3.72,-0.72,0.15,
2002-09-01,0.5,-1.42,3.23,1.25,-1.62,0.14,
2002-10-01,-10.35,3.03,1.49,3.19,-2.28,0.14,
2002-11-01,7.84,-4.32,-4.07,-3.35,0.91,0.14,
2002-12-01,5.96,3.02,-1.51,-8.93,5.1,0.12,
2003-01-01,-5.76,0.51,2.28,6.18,-1.6,0.11,
2003-02-01,-2.57,0.72,-0.86,-0.94,0.79,0.1,
2003-03-01,-1.88,-0.95,-1.33,0.87,-0.55,0.09,
2003-04-01,1.09,0.59,-2.15,1.89,-0.71,0.1,
2003-05-01,8.22,1.05,0.89,-4.59,1.11,0.1,
2003-06-01,6.05,4.67,0.11,-7.07,3.14,0.09,
2003-07-01,1.42,1.68,0.39,0.48,-0.36,0.1,
2003-08-01,2.35,4.71,-1.08,-4.22,1.87,0.07,
2003-09-01,2.34,2.58,1.61,-2.29,2.2,0.07,
2003-10-01,-1.24,0.46,0.05,1.07,0.31,0.08,
2003-11-01,6.08,2.66,1.92,-1.37,1.55,0.07,
2003-12-01,1.35,2.22,1.8,0.14,1.67,0.07,
2004-01-01,4.29,-2.58,1.58,0.49,0.97,0.08,
2004-02-01,2.15,2.44,2.45,-3.67,3.4,0.07,
2004-03-01,1.4,-0.96,0.86,2.16,-1.34,0.06,
2004-04-01,-1.32,2.13,0.24,1.7,-1.04,0.09,
2004-05-01,-1.83,-2.05,-3.07,3.48,-2.8,0.08,
2004-06-01,1.17,-0.43,-0.29,-1.19,-0.08,0.06,
2004-07-01,1.86,2.57,1.23,1.18,-0.41,0.08,
2004-08-01,-4.06,-3.05,3.28,5.07,-1.62,0.1,
2004-09-01,0.08,-1.26,0.96,1.14,-1.45,0.11,
2004-10-01,1.6,3.28,-0.07,-1.32,-1.89,0.11,
2004-11-01,1.43,0.2,-0.29,-0.3,0.4,0.11,
2004-12-01,4.54,4.08,1.43,-0.66,-0.23,0.15,
2005-01-01,3.43,-0.06,-0.18,-1.17,0.51,0.16,
2005-02-01,-2.76,-1.21,2.01,2.73,-1.38,0.16,
2005-03-01,1.89,-0.3,1.63,1.47,-0.04,0.16,
2005-04-01,-1.97,-1.35,2.14,0.56,1.12,0.21,
2005-05-01,-2.61,-4.02,0.05,0.82,-0.9,0.21,
2005-06-01,3.65,2.72,-0.66,-1.09,0.28,0.24,
2005-07-01,0.57,3.26,2.82,1.1,-0.52,0.23,
2005-08-01,3.92,2.79,-0.83,-1.21,-0.98,0.24,
2005-09-01,-1.22,-0.88,1.38,-2.1,0.44,0.3,
2005-10-01,0.49,-0.34,0.74,0.34,-0.57,0.29,
2005-11-01,-2.02,-1.41,0.45,-0.86,-1.25,0.27,
2005-12-01,3.61,0.81,-1.16,-0.77,-1.18,0.31,
2006-01-01,-0.25,-0.25,0.24,0.17,0.22,0.32,
2006-02-01,3.04,5.8,0.99,-0.6,-0.54,0.35,
2006-03-01,-0.3,-0.44,-0.26,-0.58,2.03,0.34,
2006-04-01,1.46,3.42,0.68,-0.03,-0.52,0.37,
2006-05-01,0.73,-0.8,2.37,1.8,-0.2,0.36,
2006-06-01,-3.57,-3,2.45,1.07,1.31,0.43,
2006-07-01,-0.35,-0.23,0.92,1.36,-0.11,0.4,
2006-08-01,-0.78,-3.63,2.67,1.67,0.93,0.4,
2006-09-01,2.03,0.47,-1.98,-1.79,2.15,0.42,
2006-10-01,1.84,-1.4,-0.04,0.91,0.53,0.41,
2006-11-01,3.23,1.94,-0.3,-0.09,0.26,0.41,
2006-12-01,1.71,0.8,0.07,0.19,-0.88,0.42,
2007-01-01,0.87,-0.8,2.72,-0.61,2.05,0.4,
2007-02-01,1.4,0.12,-0.69,0.54,0.24,0.44,
2007-03-01,-1.96,1.39,-0.17,-0.45,-0.74,0.38,
2007-04-01,0.68,0.15,-0.83,0.55,-0.59,0.43,
2007-05-01,3.49,-2.06,-1.38,1.05,1.01,0.44,
2007-06-01,3.24,0.41,-0.63,1.57,-1.29,0.41,
2007-07-01,-1.96,0.75,-1.1,0.57,0.07,0.4,
2007-08-01,-3.73,-2.9,-3.55,0.19,-1.04,0.4,
2007-09-01,0.92,-0.4,-1.91,-1.33,-0.56,0.42,
2007-10-01,3.22,-2.39,-2.21,-0.54,-3.17,0.32,
2007-11-01,1.8,-0.01,-2.91,-0.25,-0.1,0.32,
2007-12-01,-4.83,-2.93,-1,1.72,-0.34,0.34,
2008-01-01,-0.87,0.15,-0.59,0.83,-1.09,0.27,
2008-02-01,-6.36,-0.48,3.67,2.28,2.2,0.21,
2008-03-01,-3.09,-0.51,-0.88,1.06,-1.06,0.13,
2008-04-01,-0.93,0.66,0.14,0.95,0.47,0.17,
2008-05-01,4.6,-1.07,-0.96,1.99,-2.54,0.18,
2008-06-01,1.86,3.14,-1.45,1.04,0.04,0.18,
2008-07-01,-8.44,1.19,-2.77,4.94,-0.42,0.17,
2008-08-01,-0.77,3.63,5.27,-1.2,1.06,0.15,
2008-09-01,1.53,3.4,1.45,1.88,0.81,0.13,
2008-10-01,-9.24,0.28,6.07,2.31,1.78,0.15,
2008-11-01,-17.23,-3.31,-2.37,2.94,1.92,0.08,
2008-12-01,-7.86,-3.88,-6.31,4.5,2.72,0.03,
2009-01-01,1.74,3.36,0.14,0.06,-1.41,0,
2009-02-01,-8.12,-1.9,-11.12,0.44,-1.16,0,
2009-03-01,-10.1,-1.2,-7.03,1.32,-1.11,0.01,
2009-04-01,8.95,0.68,3.4,-2.45,-2.22,0.02,
2009-05-01,10.18,6.94,5.21,1.38,0.14,0.01,
2009-06-01,5.21,-2.46,0.49,-1.2,-2.16,0,
2009-07-01,0.43,2.28,-2.62,-1.38,-0.18,0.01,
2009-08-01,7.72,2.4,4.87,-0.41,3.21,0.01,
2009-09-01,3.33,-0.1,7.5,-2.81,3.23,0.01,
2009-10-01,4.08,2.72,0.89,1.57,0.38,0.01,
2009-11-01,-2.59,-4.79,-4.03,3.98,-1.68,0,
2009-12-01,5.56,-2.76,-0.25,0.99,0.16,0,
2010-01-01,2.75,6.27,-0.11,0.82,-0.08,0.01,
2010-02-01,-3.36,0.34,0.33,-1.18,0.43,0,
2010-03-01,3.4,1.48,3.19,-0.4,1.43,0,
2010-04-01,6.31,1.8,2.11,-0.67,1.69,0.01,
2010-05-01,2,4.99,2.91,0.88,1.69,0.01,
2010-06-01,-7.89,0.09,-2.39,1.24,-0.19,0.01,
2010-07-01,-5.57,-2.46,-4.52,-0.31,-1.5,0.01,
2010-08-01,6.93,0.09,-0.36,0.29,2.03,0.01,
2010-09-01,-4.77,-3.15,-1.9,0.49,-1.67,0.01,
2010-10-01,9.54,3.72,-3.23,-0.32,0.49,0.01,
2010-11-01,3.88,0.71,-2.46,1.16,-0.16,0.01,
2010-12-01,0.6,3.67,-0.95,0.34,1.6,0.01,
2011-01-01,6.82,0.99,3.64,-3.42,3.18,0.01,
2011-02-01,1.99,-2.43,0.82,-0.64,0.75,0.01,
2011-03-01,3.49,1.63,1.29,-1.96,0.95,0.01,
2011-04-01,0.46,2.66,-1.76,1.58,-0.01,0.01,
2011-05-01,2.9,-0.56,-2.43,0.88,-0.79,0,
2011-06-01,-1.27,-0.6,-2.05,2.08,-1.59,0,
2011-07-01,-1.75,0.15,-0.42,2.38,-1.48,0,
2011-08-01,-2.35,-1.31,-0.88,2.64,-1.68,0,
2011-09-01,-5.99,-3.16,-2.56,3.41,-0.2,0.01,
2011-10-01,-7.59,-3.68,-1.71,2.12,0.27,0,
2011-11-01,11.35,3.47,0.13,-2.41,-0.84,0,
2011-12-01,-0.28,-0.25,-0.48,1.83,1.49,0,
2012-01-01,0.74,-0.39,1.68,1.01,2.36,0,
2012-02-01,5.05,2.11,-0.9,-2.05,-1.41,0,
2012-03-01,4.42,-1.69,0.46,-0.38,-0.06,0,
2012-04-01,3.11,-0.5,1.21,-0.57,0.81,0,
2012-05-01,-0.85,-0.52,-0.77,1.26,0.67,0,
2012-06-01,-6.19,0,-1.04,2.5,2.41,0.01,
2012-07-01,3.89,0.94,0.58,-1.26,0.32,0,
2012-08-01,0.79,-2.69,-0.05,0.93,0.1,0,
2012-09-01,2.55,0.44,1.12,-1.42,-0.72,0.01,
2012-10-01,2.73,0.65,1.56,-1.32,1.6,0.01,
2012-11-01,-1.76,-0.8,3.61,-1.5,2.27,0.01,
2012-12-01,0.78,0.31,-0.83,0.39,0.92,0.01,
2013-01-01,1.18,1.88,3.53,-1.79,0.89,0.01,
2013-02-01,5.57,0.55,0.98,-1.72,1.46,0,
2013-03-01,1.29,-0.36,0.13,-0.65,0.47,0,
2013-04-01,4.03,0.85,-0.23,0.55,1.32,0,
2013-05-01,1.55,-2.28,0.53,0.13,0.48,0,
2013-06-01,2.8,2,2.61,-2.01,-0.74,0,
2013-07-01,-1.2,1.35,-0.09,-0.35,-0.02,0,
2013-08-01,5.65,1.81,0.56,-1.33,0.55,0,
2013-09-01,-2.71,-0.03,-2.66,0.59,-2.18,0,
2013-10-01,3.77,2.65,-1.15,-0.6,-1.26,0,
2013-11-01,4.18,-1.49,1.21,2.78,0.84,0,
2013-12-01,3.13,1.33,0.29,0.13,0.07,0,
2014-01-01,2.81,-0.58,-0.05,-0.47,0.09,0,
2014-02-01,-3.32,0.58,-2.02,-3.93,-1.36,0,
2014-03-01,4.65,0.11,-0.36,-0.24,-0.41,0,
2014-04-01,0.43,-1.12,4.9,2.17,1.83,0,
2014-05-01,-0.19,-4.13,1.12,3.53,1.02,0,
2014-06-01,2.06,-1.91,-0.12,0.03,-1.05,0,
2014-07-01,2.61,3.09,-0.67,-1.91,-1.95,0,
2014-08-01,-2.04,-4.27,0.02,0.92,0.47,0,
2014-09-01,4.24,0.29,-0.42,-0.61,-0.7,0,
2014-10-01,-1.97,-3.74,-1.38,1.24,-0.53,0,
2014-11-01,2.52,3.8,-1.8,-0.48,-0.19,0,
2014-12-01,2.55,-2.27,-3.07,1.49,0.2,0,
2015-01-01,-0.06,2.85,2.23,-1.16,0.88,0,
2015-02-01,-3.11,-0.86,-3.56,1.68,-1.65,0,
2015-03-01,6.14,0.23,-1.81,-1.16,-1.78,0,
2015-04-01,-1.12,3.04,-0.41,0.1,-0.51,0,
2015-05-01,0.59,-3.06,1.88,-0.04,-0.45,0,
2015-06-01,1.36,0.8,-1.1,-1.82,-0.74,0,
2015-07-01,-1.53,2.86,-0.74,0.42,-1.5,0,
2015-08-01,1.54,-4.51,-4.21,0.1,-2.5,0,
2015-09-01,-6.04,0.38,2.73,0.69,1.24,0,
2015-10-01,-3.07,-2.77,0.39,1.86,-0.45,0,
2015-11-01,7.75,-2.18,-0.25,0.87,0.41,0,
2015-12-01,0.56,3.37,-0.49,-2.64,-1.08,0,
2016-01-01,-2.17,-3.01,-2.45,0.45,0.04,0.01,
2016-02-01,-5.77,-3.41,2.01,2.81,3.05,0.01,
2016-03-01,-0.08,0.98,-0.59,3.33,2.12,0.02,
2016-04-01,6.96,1.07,1.11,0.77,-0.08,0.02,
2016-05-01,0.92,1.18,3.28,-2.89,2.01,0.01,
2016-06-01,1.78,-0.72,-1.6,-1.19,-2.52,0.01,
2016-07-01,-0.05,0.5,-1.4,1.41,1.98,0.02,
2016-08-01,3.95,2.6,-1.23,1.14,-1.24,0.02,
2016-09-01,0.5,1.66,3.31,-1.81,-0.35,0.02,
2016-10-01,0.25,1.79,-1.21,-2.13,-0.06,0.02,
2016-11-01,-2.02,-4.08,4.07,0.91,0.21,0.02,
2016-12-01,4.86,6.8,8.22,-0.07,3.78,0.01,
2017-01-01,1.82,0.41,3.51,1.14,-0.29,0.03,
2017-02-01,1.94,-1.35,-2.81,-0.5,-0.94,0.04,
2017-03-01,3.57,-2.18,-1.79,0.27,-1.74,0.04,
2017-04-01,0.17,0.8,-3.33,0.8,-1.04,0.03,
2017-05-01,1.09,0.48,-2.11,1.96,-1.58,0.05,
2017-06-01,1.06,-3.11,-3.67,1.02,-1.93,0.06,
2017-07-01,0.78,2.46,1.45,-2.23,-0.05,0.06,
2017-08-01,1.87,-1.65,-0.36,-0.77,-0.21,0.07,
2017-09-01,0.16,-1.81,-2.19,0.14,-2.42,0.09,
2017-10-01,2.51,4.78,3.14,-1.38,1.64,0.09,
2017-11-01,2.25,-1.96,0.12,0.93,-3.35,0.09,
2017-12-01,3.12,-0.33,-0.09,3.3,0.05,0.08,
2018-01-01,1.06,-1.02,0.17,0.72,1.67,0.09,
2018-02-01,5.58,-3.19,-1.32,-0.82,-0.86,0.11,
2018-03-01,-3.65,0.37,-1.01,0.58,-2.23,0.11,
2018-04-01,-2.35,3.6,-0.12,-0.45,0,0.12,
2018-05-01,0.29,0.96,0.5,-2.33,1.18,0.14,
2018-06-01,2.65,4.74,-3.15,-2.01,-1.44,0.14,
2018-07-01,0.48,0.89,-2.31,0.83,0.34,0.14,
2018-08-01,3.19,-1.95,0.57,1.53,0.4,0.16,
2018-09-01,3.44,0.64,-3.92,-0.15,-2.47,0.16,
2018-10-01,0.06,-2.49,-1.63,0.59,1.26,0.15,
2018-11-01,-7.68,-4.51,3.46,0.91,3.45,0.19,
2018-12-01,1.69,-0.8,0.34,-0.63,0.33,0.18,
2019-01-01,-9.55,-2.99,-1.89,-0.09,0.15,0.19,
2019-02-01,8.41,3.05,-0.46,-0.65,-1.36,0.21,
2019-03-01,3.4,1.79,-2.71,0.09,-1.47,0.18,
2019-04-01,1.1,-3.56,-4.19,0.86,-1.03,0.19,
2019-05-01,3.96,-1.16,2.02,1.64,-2.18,0.21,
2019-06-01,-6.94,-1.5,-2.28,-0.54,1.78,0.21,
2019-07-01,6.93,0.33,-0.79,0.99,-0.38,0.18,
2019-08-01,1.19,-1.91,0.34,-0.16,0.34,0.19,
2019-09-01,-2.58,-3.28,-4.85,0.42,-0.89,0.16,
2019-10-01,1.43,0.24,6.77,1.99,3.5,0.18,
2019-11-01,2.06,0.2,-1.88,0.25,-0.99,0.15,
2019-12-01,3.87,0.52,-2.05,-1.58,-1.24,0.12,
2020-01-01,2.77,0.94,1.91,0.09,1.29,0.14,
2020-02-01,-0.11,-4.4,-6.27,-1.36,-2.34,0.13,
2020-03-01,-8.13,-0.03,-3.92,-1.61,-2.49,0.12,
2020-04-01,-13.38,-8.38,-13.96,-1.38,1.21,0.12,
2020-05-01,13.65,2.79,-1.39,2.51,-1.03,0,
2020-06-01,5.58,1.93,-5.05,0.71,-3.28,0.01,
2020-07-01,2.46,1.94,-2.35,0.03,0.34,0.01,
2020-08-01,5.77,-3.03,-1.39,0.55,1.06,0.01,
2020-09-01,7.63,-0.94,-2.94,4.27,-1.44,0.01,
2020-10-01,-3.63,0.07,-2.51,-1.15,-1.77,0.01,
2020-11-01,-2.1,4.76,4.03,-0.6,-0.53,0.01,
2020-12-01,12.47,6.75,2.11,-2.78,1.05,0.01,
2021-01-01,4.63,4.67,-1.36,-2.15,0,0.01,
2021-02-01,-0.03,6.88,2.85,-3.33,4.68,0,
2021-03-01,2.78,4.51,7.08,0.09,-1.97,0,
2021-04-01,3.08,-0.97,7.4,6.43,3.44,0,
2021-05-01,4.93,-3.06,-0.74,2.26,-2.71,0,
2021-05-31,0.29,1.26,7.05,2.37,3.2,0,
,,,,,,,
